latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.0,135.0,126.0,32400,Asia/Tokyo,GMT+9

time,rain (mm)
2025-09-18T14:15,0.00

time,temperature_2m (°C),dew_point_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_10m (km/h),wind_direction_10m (°),surface_pressure (hPa),cloud_cover_low (%)
2025-09-18T00:00,24.5,23.2,92,0.00,3.3,167,995.6,9
2025-09-18T01:00,24.4,23.0,92,0.00,4.7,171,995.7,15
2025-09-18T02:00,23.9,23.3,97,0.00,4.3,185,996.1,17
2025-09-18T03:00,24.0,23.4,96,0.00,3.7,209,996.3,12
2025-09-18T04:00,23.7,22.9,95,0.00,4.8,193,996.8,15
2025-09-18T05:00,23.4,22.6,95,0.00,4.4,189,996.9,5
2025-09-18T06:00,23.4,22.8,97,0.00,4.9,197,997.1,9
2025-09-18T07:00,23.8,22.8,94,0.00,3.7,209,997.3,10
2025-09-18T08:00,24.9,22.8,88,0.00,5.0,201,997.1,5
2025-09-18T09:00,25.8,23.1,85,0.00,6.5,236,998.0,29
2025-09-18T10:00,26.5,22.8,80,0.00,7.2,243,997.9,39
2025-09-18T11:00,27.3,22.0,73,0.00,7.6,262,997.5,12
2025-09-18T12:00,28.5,21.3,65,0.00,7.9,267,996.8,16
2025-09-18T13:00,29.3,21.0,61,0.00,6.6,315,996.2,36
2025-09-18T14:00,25.9,21.8,78,0.00,10.4,2,996.9,31
2025-09-18T15:00,24.9,21.4,81,0.00,9.9,10,997.3,25
2025-09-18T16:00,24.4,20.9,81,0.00,9.5,11,997.6,19
2025-09-18T17:00,24.0,20.5,81,0.00,8.2,15,998.1,14
2025-09-18T18:00,23.5,20.4,83,0.00,8.0,10,998.6,14
2025-09-18T19:00,23.2,20.2,83,0.00,9.0,5,999.5,23
2025-09-18T20:00,22.9,19.7,82,0.00,9.4,4,1000.2,12
2025-09-18T21:00,22.5,19.1,81,0.00,8.4,10,1000.2,5
2025-09-18T22:00,22.3,18.5,79,0.00,7.9,3,1000.4,5
2025-09-18T23:00,22.2,18.0,77,0.00,6.9,6,1000.5,5
2025-09-19T00:00,22.0,18.0,78,0.00,7.7,11,1000.6,5
2025-09-19T01:00,21.8,18.1,80,0.00,7.3,11,1001.0,6
2025-09-19T02:00,21.6,17.8,79,0.00,6.6,9,1000.9,5
2025-09-19T03:00,21.5,17.5,78,0.00,5.2,12,1000.8,4
2025-09-19T04:00,21.1,17.4,79,0.00,4.6,18,1001.0,11
2025-09-19T05:00,21.0,17.4,80,0.00,4.8,27,1001.4,11
2025-09-19T06:00,20.8,17.6,82,0.00,4.7,23,1001.8,9
2025-09-19T07:00,21.3,18.1,82,0.00,5.0,21,1002.4,10
2025-09-19T08:00,22.0,18.6,81,0.00,6.0,17,1002.6,12
2025-09-19T09:00,23.6,18.9,75,0.00,7.9,16,1003.0,14
2025-09-19T10:00,24.5,19.1,72,0.00,8.6,22,1002.8,23
2025-09-19T11:00,25.0,19.0,69,0.00,9.0,23,1002.4,29
2025-09-19T12:00,25.5,18.4,65,0.00,8.2,23,1002.0,22
2025-09-19T13:00,25.9,18.6,64,0.00,7.9,24,1001.3,20
2025-09-19T14:00,26.0,18.4,63,0.00,7.4,23,1000.5,15
2025-09-19T15:00,25.9,18.3,63,0.00,6.8,18,1000.2,16
2025-09-19T16:00,25.3,18.0,64,0.00,6.6,22,1000.2,12
2025-09-19T17:00,24.5,18.0,67,0.00,6.2,21,1000.4,12
2025-09-19T18:00,23.6,17.8,70,0.00,6.2,21,1000.7,9
2025-09-19T19:00,23.0,17.7,72,0.00,5.8,22,1001.4,9
2025-09-19T20:00,22.6,17.8,74,0.00,5.6,27,1002.0,9
2025-09-19T21:00,22.3,17.9,76,0.00,5.0,30,1002.2,13
2025-09-19T22:00,22.0,17.9,78,0.00,4.7,32,1002.0,11
