uslatitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
35.0,135.0,126.0,32400,Asia/Tokyo,GMT+9

time,rain (mm),cloud_cover (%),showers (mm),snowfall (cm)
2025-09-18T15:30,0.00,54,0.00,0.00

time,temperature_2m (°C),dew_point_2m (°C),relative_humidity_2m (%),rain (mm),wind_speed_10m (km/h),wind_direction_10m (°),surface_pressure (hPa),cloud_cover_low (%),precipitation (mm)
2025-09-04T00:00,24.3,23.4,95,0.00,2.9,120,998.5,51,0.00
2025-09-04T01:00,24.0,23.4,96,0.00,2.9,83,997.9,34,0.00
2025-09-04T02:00,24.0,23.4,96,0.00,2.7,113,997.8,25,0.00
2025-09-04T03:00,24.0,23.0,94,0.00,3.9,124,998.1,31,0.00
2025-09-04T04:00,24.1,22.9,93,0.00,3.7,79,998.2,26,0.00
2025-09-04T05:00,23.8,23.0,95,0.00,3.0,76,998.0,13,0.00
2025-09-04T06:00,23.8,23.0,95,0.00,3.2,63,998.1,11,0.00
2025-09-04T07:00,24.0,23.1,95,0.00,2.9,83,998.4,30,0.00
2025-09-04T08:00,24.5,23.3,93,0.00,2.3,108,998.4,31,0.00
2025-09-04T09:00,25.5,23.9,91,0.20,5.1,172,998.9,19,0.20
2025-09-04T10:00,25.9,22.9,84,0.00,6.2,173,998.4,25,0.00
2025-09-04T11:00,24.8,23.6,93,0.50,2.3,162,997.9,21,0.50
2025-09-04T12:00,25.4,23.4,89,0.10,2.7,157,997.4,37,0.10
2025-09-04T13:00,26.0,23.1,84,0.00,4.3,156,997.2,48,0.00
2025-09-04T14:00,25.4,23.6,90,0.20,2.6,124,996.6,31,0.20
2025-09-04T15:00,25.2,24.0,93,0.20,2.8,50,996.2,26,0.20
2025-09-04T16:00,25.5,23.6,89,0.00,1.5,104,996.1,27,0.00
2025-09-04T17:00,25.3,23.9,92,0.10,2.3,108,996.0,22,0.10
2025-09-04T18:00,24.6,23.9,96,0.40,3.2,63,996.2,25,0.40
2025-09-04T19:00,24.2,23.5,96,1.80,3.7,79,996.1,23,1.80
2025-09-04T20:00,23.8,23.0,95,1.10,4.7,90,996.1,33,1.10
2025-09-04T21:00,24.5,23.8,96,1.40,5.4,110,996.5,13,1.40
2025-09-04T22:00,24.5,23.6,95,1.00,6.4,117,995.5,9,1.00
2025-09-04T23:00,24.4,23.5,95,1.80,6.4,106,994.9,13,1.80
2025-09-05T00:00,24.4,23.5,95,1.10,5.2,74,994.1,15,1.10
2025-09-05T01:00,24.4,23.5,95,0.40,3.9,56,993.0,35,0.40
2025-09-05T02:00,24.1,23.3,95,1.10,4.4,81,992.2,46,1.10
2025-09-05T03:00,24.4,23.5,95,4.20,6.6,68,992.0,43,4.20
2025-09-05T04:00,24.1,23.4,96,31.60,3.9,146,990.8,51,31.60
2025-09-05T05:00,24.2,23.5,96,6.10,6.2,54,989.8,15,6.10
2025-09-05T06:00,25.0,24.2,95,24.20,8.2,105,989.2,51,24.20
2025-09-05T07:00,24.1,23.5,96,14.70,2.8,310,989.2,50,14.70
2025-09-05T08:00,24.4,23.7,96,4.30,5.4,8,989.2,59,4.30
2025-09-05T09:00,24.7,23.7,94,2.80,4.9,36,989.6,32,2.80
2025-09-05T10:00,25.9,23.5,87,0.10,5.4,4,989.9,17,0.10
2025-09-05T11:00,27.6,23.4,78,0.00,6.5,360,990.0,20,0.00
2025-09-05T12:00,27.6,24.2,82,0.00,7.1,336,990.9,42,0.00
2025-09-05T13:00,28.1,23.5,76,0.10,11.9,357,991.0,23,0.10
2025-09-05T14:00,29.9,23.1,67,0.00,9.7,338,991.0,36,0.00
2025-09-05T15:00,28.5,23.0,72,0.00,9.2,334,991.9,42,0.00
2025-09-05T16:00,28.4,23.5,75,0.00,8.6,345,992.4,37,0.00
2025-09-05T17:00,27.6,23.5,78,0.00,9.3,347,992.8,34,0.00
2025-09-05T18:00,26.5,23.2,82,0.00,6.5,357,993.8,35,0.00
2025-09-05T19:00,25.9,23.0,84,0.00,6.2,353,994.7,27,0.00
2025-09-05T20:00,25.5,23.0,86,0.00,6.5,357,995.1,26,0.00
2025-09-05T21:00,24.3,22.9,92,0.00,2.9,7,995.8,37,0.00
2025-09-05T22:00,24.0,22.8,93,0.00,4.7,9,996.0,11,0.00
2025-09-05T23:00,24.1,22.5,91,0.00,6.3,13,996.2,14,0.00
2025-09-06T00:00,23.5,22.7,95,0.00,5.9,11,996.0,2,0.00
